"province_id.id","district_id.id","municipality_code","municipality_name"
3,29,"09","Temal Rural Municipality"
3,29,"10","Bethanchok Rural Municipality"
3,29,"11","Bhumlu Rural Municipality"
3,29,"12","Mahabharat Rural Municipality"
3,29,"13","Roshi Rural Municipality"
3,30,"01","Lalitpur Metropolitan City"
3,30,"02","Mahalaxmi Municipality"
3,30,"03","Godawari Municipality"
3,30,"04","Konjyoson Rural Municipality"
3,30,"05","Bagmati Rural Municipality"
3,30,"06","Mahankal Rural Municipality"
3,31,"01","Bidur Municipality"
3,31,"02","Belkotgadhi Municipality"
3,31,"03","Kakani Rural Municipality"
3,31,"04","Panchakanya Rural Municipality"
3,31,"05","Likhu Rural Municipality"
3,31,"06","Dupcheshwar Rural Municipality"
3,31,"07","Shivapuri Rural Municipality"
3,31,"08","Tadi Rural Municipality"
3,31,"09","Suryagadhi Rural Municipality"
3,31,"10","Tarkeshwar Rural Municipality"
3,31,"11","Kispang Rural Municipality"
3,31,"12","Myagang Rural Municipality"
3,32,"01","Uttargaya Rural Municipality"
3,32,"02","Kalika Rural Municipality"
3,32,"03","Gosaikunda Rural Municipality"
3,32,"04","Naukunda Rural Municipality"
3,32,"05","Aamachhodingmo Rural Municipality"
3,33,"01","Chautara Sangachowkgadi"
3,33,"02","Bahrabise"
3,33,"03","Melamchi"
3,33,"04","Balephi Rural Municipality"
3,33,"05","Sunkoshi Rural Municipality"
3,33,"06","Indrawati Rural Municipality"
3,33,"07","Jugal Rural Municipality"
3,33,"08","Panchpokhari Thangpal Rural Municipality"
3,33,"09","Bhotekoshi Rural Municipality"
3,33,"10","Lisankhu Pakhar Rural Municipality"
3,33,"11","Helambu Rural Municipality"
3,33,"12","Tripurasundari Rural Municipality"
3,34,"01","Bharatpur Metropolitan City"
3,34,"02","Kalika Municipality"
3,34,"03","Khairahani Municipality"
3,34,"04","Madi Municipality"
3,34,"05","Ratnanagar municipality"
3,34,"06","Rapti Municipality"
3,34,"07","Ichchhakamana Rural Municipality"
3,35,"01","Hetauda Sub-Metropolitan City"
3,35,"02","Thaha Municipality"
3,35,"03","Bhimphedi Rural Municipality"
3,35,"04","Makawanpurgadhi Rural Municipality"
3,35,"05","Manahari Rural Municipality"
3,35,"06","Raksirang Rural Municipality"
3,35,"07","Bakaiya Rural Municipality"
3,35,"08","Bagmati Rural Municipality"
3,35,"09","Kailash Rural Municipality"
3,35,"10","Indrasarowar Rural Municipality"
4,36,"01","Baglung Municipality "
4,36,"02","Dhorpatan Municipality"
4,36,"03","Galkot Municipality"
4,36,"04","Jaimuni Municipality"
4,36,"05","Bareng Rural Municipality"
4,36,"06","Khathekhola Rural Municipality"
4,36,"07","Taman Khola Rural Municipality"
4,36,"08","Tara Khola Rural Municipality"
4,36,"09","Nisikhola Rural Municipality"
4,36,"10","Badigad Rural Municipality"
4,37,"01","Gorkha Municipality"
4,37,"02","Palungtar Municipality"
4,37,"03","Sulikot Rural Municipality"
4,37,"04","Siranchowk Rural Municipality"
4,37,"05","Ajirkot Rural Municipality"
4,37,"06","Tsum Nubri Rural Municipality"
4,37,"07","Dharche Rural Municipality"
4,37,"08","Bhimsen Thapa Rural Municipality"
4,37,"09","Sahid Lakhan Rural Municipality"
4,37,"10","Aarughat Rural Municipality"
4,37,"11","Gandaki Rural Municipality"
4,38,"01","Pokhara Metropolitan City"
4,38,"02","Annapurna Rural Municipality"
4,38,"03","Machhapuchchhre Rural Municipality"
4,38,"04","Madi Rural Municipality"
4,38,"05","Rupa Rural Municipality"
4,39,"01","Besisahar Municipality"
4,39,"02","Dordi Rural Municipality"
4,39,"03","Dudhpokhari Rural Municipality"
4,39,"04","Kwhlosothar Rural Municipality"
4,39,"05","Madhya Nepal Municipality"
4,39,"06","Marsyandi Rural Municipality"
4,39,"07","Rainas Municipality"
4,39,"08","Sundarbazar Municipality"
4,40,"01","Chame Rural Municipality"
4,40,"02","Nason Rural Municipality"
4,40,"03","Narpa Bhumi Rural Municipality"
4,40,"04","Manang Ngisyang Rural Municipality"
4,41,"01","Gharapjhong Rural Municipality"
4,41,"02","Thasang Rural Municipality"
4,41,"03","Barhagaun Muktichhetra Rural Municipality"
4,41,"04","Lomanthang Rural Municipality"
4,41,"05","Lo-Ghekar Damodarkunda Rural Municipality"
4,42,"01","Beni Municipality"
4,42,"02","Annapurna Rural Municipality"
4,42,"03","Dhaulagiri Rural Municipality"
4,42,"04","Mangala Rural Municipality"
4,42,"05","Malika Rural Municipality"
4,42,"06","Raghuganga Rural Municipality"
4,43,"01","Kawasoti Municipality"
4,43,"02","Gaindakot Municipality"
4,43,"03","Devachuli Municipality"
4,43,"04","Madhyabindu Municipality"
4,43,"05","Baudikali Rural Municipality"
4,43,"06","Bulingtar Rural Municipality"
4,43,"07","Binayi Tribeni Rural Municipality"
4,43,"08","Hupsekot Rural Municipality"
4,44,"01","Kushma Municipality"
4,44,"02","Phalewas Municipality"
